iter	Passed	Remaining
662	12633	6421
663	12650	6401
664	12665	6380
665	12684	6361
666	12704	6342
667	12725	6324
668	12743	6304
669	12759	6284
670	12774	6263
671	12790	6242
672	12804	6221
673	12822	6201
674	12837	6181
675	12852	6160
676	12876	6143
677	12893	6123
678	12908	6102
679	12925	6082
680	12940	6061
681	12957	6041
682	12972	6021
683	12989	6001
684	13003	5979
685	13019	5959
686	13037	5939
687	13053	5919
688	13069	5899
689	13083	5878
690	13098	5857
691	13114	5837
692	13129	5816
693	13148	5797
694	13165	5777
695	13179	5756
696	13195	5736
697	13211	5716
698	13226	5695
699	13244	5676
700	13263	5657
701	13277	5636
702	13294	5616
703	13310	5596
704	13325	5575
705	13339	5554
706	13357	5535
707	13370	5514
708	13387	5494
709	13402	5474
710	13416	5453
711	13431	5432
712	13447	5413
713	13464	5393
714	13477	5372
715	13492	5351
716	13508	5331
717	13523	5311
718	13537	5290
719	13559	5273
720	13575	5253
721	13591	5233
722	13608	5213
723	13625	5194
724	13643	5175
725	13662	5156
726	13679	5136
727	13697	5117
728	13714	5098
729	13731	5078
730	13745	5058
731	13763	5039
732	13781	5020
733	13797	5000
734	13817	4981
735	13832	4961
736	13847	4941
737	13861	4921
738	13880	4902
739	13897	4882
740	13912	4862
741	13929	4843
742	13945	4823
743	13961	4804
744	13978	4784
745	13993	4764
746	14008	4744
747	14024	4724
748	14039	4704
749	14056	4685
750	14075	4666
751	14092	4647
752	14107	4627
753	14122	4607
754	14137	4587
755	14151	4567
756	14164	4546
757	14181	4527
758	14196	4507
759	14212	4488
760	14226	4468
761	14242	4448
762	14256	4428
763	14269	4407
764	14288	4389
765	14307	4370
766	14323	4351
767	14341	4332
768	14357	4312
769	14379	4295
770	14398	4276
771	14416	4257
772	14435	4239
773	14450	4219
774	14466	4199
775	14481	4180
776	14500	4161
777	14516	4142
778	14533	4123
779	14548	4103
780	14564	4084
781	14579	4064
782	14597	4045
783	14613	4026
784	14630	4007
785	14645	3987
786	14660	3967
787	14675	3948
788	14694	3929
789	14713	3911
790	14730	3892
791	14745	3872
792	14761	3853
793	14779	3834
794	14793	3814
795	14811	3795
796	14827	3776
797	14842	3757
798	14860	3738
799	14878	3719
800	14913	3705
801	14935	3687
802	14954	3668
803	14976	3650
804	14993	3631
805	15013	3613
806	15033	3595
807	15051	3576
808	15067	3557
809	15085	3538
810	15101	3519
811	15120	3500
812	15137	3481
813	15154	3462
814	15172	3444
815	15190	3425
816	15209	3406
817	15229	3388
818	15245	3369
819	15263	3350
820	15283	3332
821	15301	3313
822	15320	3294
823	15337	3275
824	15354	3256
825	15372	3238
826	15389	3219
827	15407	3200
828	15424	3181
829	15437	3161
830	15452	3142
831	15476	3125
832	15495	3106
833	15514	3087
834	15531	3069
835	15547	3050
836	15564	3031
837	15579	3011
838	15595	2992
839	15611	2973
840	15628	2954
841	15644	2935
842	15660	2916
843	15675	2897
844	15691	2878
845	15707	2859
846	15725	2840
847	15741	2821
848	15757	2802
849	15774	2783
850	15791	2764
851	15807	2745
852	15821	2726
853	15839	2707
854	15858	2689
855	15878	2671
856	15895	2652
857	15910	2633
858	15924	2613
859	15943	2595
860	15960	2576
861	15976	2557
862	15992	2538
863	16006	2519
864	16020	2500
865	16034	2481
866	16051	2462
867	16065	2443
868	16080	2424
869	16096	2405
870	16119	2387
871	16135	2368
872	16152	2349
873	16167	2330
874	16180	2311
875	16196	2292
876	16209	2273
877	16227	2254
878	16247	2236
879	16265	2218
880	16279	2198
881	16294	2180
882	16308	2160
883	16323	2142
884	16339	2123
885	16353	2104
886	16370	2085
887	16385	2066
888	16399	2047
889	16413	2028
890	16428	2009
891	16443	1990
892	16460	1972
893	16474	1953
894	16492	1934
895	16506	1915
896	16521	1897
897	16537	1878
898	16552	1859
899	16567	1840
900	16583	1822
901	16597	1803
902	16615	1784
903	16630	1766
904	16645	1747
905	16659	1728
906	16678	1710
907	16692	1691
908	16706	1672
909	16720	1653
910	16734	1634
911	16754	1616
912	16772	1598
913	16786	1579
914	16799	1560
915	16814	1541
916	16830	1523
917	16845	1504
918	16860	1486
919	16876	1467
920	16894	1449
921	16911	1430
922	16927	1412
923	16942	1393
924	16957	1374
925	16971	1356
926	16986	1337
927	17003	1319
928	17018	1300
929	17033	1282
930	17048	1263
931	17063	1244
932	17077	1226
933	17096	1208
934	17113	1189
935	17131	1171
936	17147	1152
937	17164	1134
938	17179	1116
939	17197	1097
940	17212	1079
941	17227	1060
942	17241	1042
943	17255	1023
944	17271	1005
945	17288	986
946	17303	968
947	17319	950
948	17333	931
949	17349	913
950	17364	894
951	17378	876
952	17403	858
953	17422	840
954	17438	821
955	17454	803
956	17470	784
957	17483	766
958	17501	748
959	17519	729
960	17536	711
961	17616	695
962	17656	678
963	17671	659
964	17688	641
965	17704	623
966	17723	604
967	17738	586
968	17754	567
969	17768	549
970	17784	531
971	17799	512
972	17815	494
973	17830	475
974	17844	457
975	17859	439
976	17872	420
977	17888	402
978	17905	384
979	17919	365
980	17937	347
981	17953	329
982	17972	310
983	17992	292
984	18008	274
985	18027	255
986	18044	237
987	18059	219
988	18073	201
989	18092	182
990	18110	164
991	18124	146
992	18149	127
993	18169	109
994	18195	91
995	18216	73
996	18244	54
997	18266	36
998	18306	18
999	18332	0
